japanese,chinese,english,category
アカウント,账户,account,Lesson 1
アクション,动作,action,Lesson 1
アクセス,访问,access,Lesson 1
アクセスレベル,访问级别,access level,Lesson 1
アクティビティ,活动,activity,Lesson 1
アクティブ,激活,activate,Lesson 1
アダプタ,适配器,adapter,Lesson 1
アプリケーション,应用、应用程序,application,Lesson 1
アプリケーション層(そう),应用层,application layer,Lesson 1
アーンドバリューマネジメント,挣值管理,earned value management、 EVM,Lesson 1
アルゴリズム,算法,algorithm,Lesson 1
暗号化 (あんごうか),加密,encryption,Lesson 1
アンチエイリアシング,反锯齿,anti-aliasing,Lesson 1
イテレーション,迭代,iteration,Lesson 1
イテレータ,迭代器,iterator,Lesson 1
イベント,事件,event,Lesson 1
インシデント,事件,incident,Lesson 1
ウィンドウ,窗口,window,Lesson 1
エクスプロイトコード,漏洞利用代码,exploit code,Lesson 1
エッジ,边,edge,Lesson 1
エラーメッセージ,报错,error message,Lesson 1
エラーログ,错误日志,error log,Lesson 1
エンジン,引擎,engine,Lesson 1
エンタープライズアーキテクチャ,企业架构,enterprise architecture、 EA,Lesson 1
エンドツーエンド認証(にんしょう),端对端身份验证,end-to-end authentication,Lesson 1
オートマトン,自动机,automaton,Lesson 1
オーバーライド,覆写、重新定义,override,Lesson 1
オーバーロード,重载,overload,Lesson 1
オペレーティングシステム,操作系统,operating system 、OS,Lesson 1
カーネル,内核,kernel /ˈkɜrnəl/,Lesson 2
仮想記憶 (かそうきおく),虚拟内存,virtual memory,Lesson 2
カルノー図(ず),卡诺图,Karnaugh map,Lesson 2
簡易(かんい)メール転送(てんそう)/プロトコル　,简单邮件传输协议,simple mail transfer protocol、SMTP,Lesson 2
関係(かんけい)データベース,关系数据库,relational database,Lesson 2
キー,键,key,Lesson 2
キー/バリュー/ストア,键值数据库、键值存储,key–value store、 KVS,Lesson 2
機械学習(きかいがくしゅう),机器学习,machine learning,Lesson 2
逆(ぎゃく)ポーランド記法(きほう),逆波兰表示法、逆波兰记法,reverse polish notation、RPN,Lesson 2
キャッシュ/サーバ,缓存服务器,cache server,Lesson 2
キャパシティ,容量,capacity,Lesson 2
近似/文字列照合(きんじ/もじれつしょうごう),字符串模糊匹配,approximate string matching,Lesson 2
クライアント,客户、客户端,client,Lesson 2
クライアント/アプリケーション,客户端应用程序,client application,Lesson 2
クラスタソフトウェア,群集软件,cluster software,Lesson 2
クラスタリング,聚类分析,clustering,Lesson 2
クロスコンパイラ,交叉编译器,cross compiler,Lesson 2
クロスサイトスクリプティング,跨站脚本攻击,cross-site scripting,Lesson 2
桁上げ (けたあげ),进位,carry,Lesson 2
検査特性曲線(けんさとくせいきょくせん)、OC曲線(きょくせん),工作特征曲线,operating characterisitic curve,Lesson 2
